,n,l,i,epi,smt,para
0,0.6445027534846788,0.6747847601808389,0.4650622405341102,0,1,1
1,0.6972940338168917,0.6512825250482485,0.573327885358641,0,2,2
2,0.6445027534846788,0.6747847601808389,0.4650622405341102,1,1,1
3,0.6972940338168917,0.6512825250482485,0.573327885358641,1,2,2
4,0.6445027534846788,0.6747847601808389,0.4650622405341102,2,1,1
5,0.6972940338168917,0.6512825250482485,0.573327885358641,2,2,2
6,0.6445027534846788,0.6747847601808389,0.4650622405341102,3,1,1
7,0.6972940338168917,0.6512825250482485,0.573327885358641,3,2,2
8,0.6445027534846788,0.6747847601808389,0.4650622405341102,4,1,1
9,0.6972940338168917,0.6512825250482485,0.573327885358641,4,2,2
10,0.7038086799687413,0.6483242314570835,0.5840954704422197,0,3,3
11,0.704380899279752,0.6480586817198932,0.5848330623350904,0,4,4
12,0.7038086799687413,0.6483242314570835,0.5840954704422197,1,3,3
13,0.704380899279752,0.6480586817198932,0.5848330623350904,1,4,4
14,0.7038086799687413,0.6483242314570835,0.5840954704422197,2,3,3
15,0.704380899279752,0.6480586817198932,0.5848330623350904,2,4,4
16,0.7038086799687413,0.6483242314570835,0.5840954704422197,3,3,3
17,0.704380899279752,0.6480586817198932,0.5848330623350904,3,4,4
18,0.7038086799687413,0.6483242314570835,0.5840954704422197,4,3,3
19,0.704380899279752,0.6480586817198932,0.5848330623350904,4,4,4
20,0.7044350607001318,0.6480326506045241,0.5848884989796617,0,5,5
21,0.70443866620327,0.648030849133453,0.5848914926087921,0,6,6
22,0.7044350607001318,0.6480326506045241,0.5848884989796617,1,5,5
23,0.70443866620327,0.648030849133453,0.5848914926087921,1,6,6
24,0.7044350607001318,0.6480326506045241,0.5848884989796617,2,5,5
25,0.70443866620327,0.648030849133453,0.5848914926087921,2,6,6
26,0.7044350607001318,0.6480326506045241,0.5848884989796617,3,5,5
27,0.70443866620327,0.648030849133453,0.5848914926087921,3,6,6
28,0.7044350607001318,0.6480326506045241,0.5848884989796617,4,5,5
29,0.70443866620327,0.648030849133453,0.5848914926087921,4,6,6
30,0.70443866620327,0.648030849133453,0.5848914926087921,0,7,7
31,0.70443866620327,0.648030849133453,0.5848914926087921,0,8,8
32,0.70443866620327,0.648030849133453,0.5848914926087921,1,7,7
33,0.70443866620327,0.648030849133453,0.5848914926087921,1,8,8
34,0.70443866620327,0.648030849133453,0.5848914926087921,2,7,7
35,0.70443866620327,0.648030849133453,0.5848914926087921,2,8,8
36,0.70443866620327,0.648030849133453,0.5848914926087921,3,7,7
37,0.70443866620327,0.648030849133453,0.5848914926087921,3,8,8
38,0.70443866620327,0.648030849133453,0.5848914926087921,4,7,7
39,0.70443866620327,0.648030849133453,0.5848914926087921,4,8,8
